,Model,Accuracy,F1 Score,Precission,Recall
0,KNeighborsClassifier(),0.8293838862559242,0.8297926537250836,0.8360784160547193,0.8293838862559242
1,KNeighborsClassifier(),0.8388625592417062,0.8394271143931027,0.8385791991911337,0.8388625592417062
2,KNeighborsClassifier(),0.8388625592417062,0.8367792059046394,0.8482669981814703,0.8388625592417062
3,KNeighborsClassifier(),0.8720379146919431,0.8716738787004602,0.8742655803468413,0.8720379146919431
4,KNeighborsClassifier(),0.8293838862559242,0.8309123322035458,0.8301267578857771,0.8293838862559242
5,KNeighborsClassifier(),0.8222748815165877,0.8215152556023427,0.8243283717184801,0.8222748815165877
6,KNeighborsClassifier(),0.8104265402843602,0.8103246379767711,0.8131083347604025,0.8104265402843602
7,KNeighborsClassifier(),0.8175355450236966,0.8155456350601956,0.8241066819936873,0.8175355450236966
8,KNeighborsClassifier(),0.8507109004739336,0.8521057116023447,0.8501819212765833,0.8507109004739336
9,KNeighborsClassifier(),0.8317535545023697,0.8321283296368612,0.8311623803824034,0.8317535545023697
10,SVC(),0.8649289099526066,0.8646646712574757,0.8695189693790157,0.8649289099526066
11,SVC(),0.8293838862559242,0.8278898208868724,0.8388480855989364,0.8293838862559242
12,SVC(),0.8601895734597157,0.859961730491421,0.862733274713181,0.8601895734597157
13,SVC(),0.8554502369668247,0.8544945460563487,0.8675875437126814,0.8554502369668247
14,SVC(),0.8554502369668247,0.8545651301848424,0.8623329593324552,0.8554502369668247
15,SVC(),0.8838862559241706,0.8833408459737261,0.8868403991156697,0.8838862559241706
16,SVC(),0.8293838862559242,0.8308447889974001,0.8311110672321945,0.8293838862559242
17,SVC(),0.8388625592417062,0.837623211540857,0.8457583751336376,0.8388625592417062
18,SVC(),0.8578199052132701,0.8561512958218732,0.8675593912549316,0.8578199052132701
19,SVC(),0.8483412322274881,0.846029694314182,0.8542214429108305,0.8483412322274881
20,GaussianNB(),0.7559241706161137,0.7660084924662209,0.7532499060213111,0.7559241706161137
21,GaussianNB(),0.7488151658767772,0.7572592056325739,0.7560582124563168,0.7488151658767772
22,GaussianNB(),0.7867298578199052,0.7934706352339388,0.7905577942455904,0.7867298578199052
23,GaussianNB(),0.7417061611374408,0.7508204170465574,0.7452393028612359,0.7417061611374408
24,GaussianNB(),0.7085308056872038,0.7204996842459499,0.7181231752143846,0.7085308056872038
25,GaussianNB(),0.7464454976303317,0.7537524062706578,0.7536540115896448,0.7464454976303317
26,GaussianNB(),0.8056872037914692,0.8114221453246108,0.8057647399851616,0.8056872037914692
27,GaussianNB(),0.7274881516587678,0.7393615102520826,0.7452453999694792,0.7274881516587678
28,GaussianNB(),0.7654028436018957,0.7738223382143271,0.7608358819973282,0.7654028436018957
29,GaussianNB(),0.7511848341232228,0.7604956812907635,0.7618548390906077,0.7511848341232228
30,MultinomialNB(),0.8270142180094787,0.8304570911079672,0.8392719371447465,0.8270142180094787
31,MultinomialNB(),0.8246445497630331,0.8284113563281853,0.8321328972360502,0.8246445497630331
32,MultinomialNB(),0.7819905213270142,0.7859599849252485,0.8112107832030052,0.7819905213270142
33,MultinomialNB(),0.7772511848341233,0.7837401024297778,0.7907319843060017,0.7772511848341233
34,MultinomialNB(),0.8270142180094787,0.8304812921557945,0.8429369215115269,0.8270142180094787
35,MultinomialNB(),0.8246445497630331,0.826699646577465,0.8299441869347082,0.8246445497630331
36,MultinomialNB(),0.8270142180094787,0.8305989082199197,0.8333449703817509,0.8270142180094787
37,MultinomialNB(),0.7985781990521327,0.8057944753015293,0.815340282070655,0.7985781990521327
