Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates (Latitude),Coordinates (Longitude),Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified
1630506294443675648,Pajak,https://twitter.com/esti_alt/status/1630506294443675648,2023-02-28 09:52:48+00:00,"@DitjenPajakRI Admin, kenapa ya, pada 1770 untuk orang usaha omset 2juta aja kena pajak 1%. Tapi untuk karyawan ada minimal penghasilan yg tidak kena pajak.",esti_alt,,0,0,0,0,in,Twitter for Android,,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630506278891163649,Pajak,https://twitter.com/LangitBiruTua77/status/1630506278891163649,2023-02-28 09:52:44+00:00,"@kurawa BENAR!!

UDAH KITA BAYAR.  UDAH GT KITA HRS LAPORAN2 RIBET. KALAU SALAH UJUG2 HUTANG PAJAK. NGEHE GA??",LangitBiruTua77,,0,0,0,0,in,Twitter for Android,,,,,kurawa,1,['kurawa'],False
1630506258636869634,Pajak,https://twitter.com/lembaga_guyon/status/1630506258636869634,2023-02-28 09:52:40+00:00,"@mazzini_gsp Gue yang setiap hari termotivasi oleh motivasi  Sri Mulyani dan podcast Deddy Corbuzier untuk bayar pajak demi negara rasanya sakit hati sekali mengetahui ini. Saya benar-benar tidak ikhlas dan malas membayar pajak 

https://t.co/oeuMcypgjs",lembaga_guyon,,0,0,0,0,in,Twitter Web App,,,,,mazzini_gsp,1,['mazzini_gsp'],False
1630506251313610753,Pajak,https://twitter.com/KomunitasBambu/status/1630506251313610753,2023-02-28 09:52:38+00:00,"Peter Carey menulis bahwa sangat mudah memahami mengapa pemungut pajak terbukti menjadi pilihan menarik bagi para penguasa Yogyakarta yang selalu berada dalam tekanan keuangan.

Selengkapnya klik link: https://t.co/Wz5pWctLs2 https://t.co/FmLWHglBmX",KomunitasBambu,,0,0,0,0,in,Twitter for iPhone,,,,,KomunitasBambu,0,,False
1630506224226811904,Pajak,https://twitter.com/KomunitasBambu/status/1630506224226811904,2023-02-28 09:52:31+00:00,"Tidak selang lama setelah pengesahan Perjanjian Giyanti pada Februari 1755. Hamengkubuwana I menandatangani penyewaan pemungut pajak pertama untuk gerbang-gerbang tol di daerah-daerah kekuasaan kerajaannya bersama Kapitan Cina daerah Mataram, To in. https://t.co/LzDJwksk9P",KomunitasBambu,1.0,1,0,0,0,in,Twitter for iPhone,,,,,,0,,False
1630506214437298177,Pajak,https://twitter.com/adamrbn/status/1630506214437298177,2023-02-28 09:52:29+00:00,@DitjenPajakRI Pajak untuk kita my ass,adamrbn,,0,0,0,0,in,Twitter Web App,,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630506191465111552,Pajak,https://twitter.com/lembaga_guyon/status/1630506191465111552,2023-02-28 09:52:24+00:00,"@NdayakBayu @bintangemon Gue yang setiap hari termotivasi oleh motivasi  Sri Mulyani dan podcast Deddy Corbuzier untuk bayar pajak demi negara rasanya sakit hati sekali mengetahui ini. Saya benar-benar tidak ikhlas dan malas membayar pajak 

https://t.co/oeuMcypgjs",lembaga_guyon,,0,0,0,0,in,Twitter Web App,,,,,NdayakBayu,2,"['NdayakBayu', 'bintangemon']",False
1630506146841907200,Pajak,https://twitter.com/pajakpsidempuan/status/1630506146841907200,2023-02-28 09:52:13+00:00,"Rabu 15 Februari 2023, Kantor Pelayanan Pajak Pratama Padang Sidempuan melakukan sosialisasi terkait Pemadanan NIK = NPWP dan sosialisasi SPT Tahunan ke Kantor Kelurahan WEK IV https://t.co/SSGmzA9wBv",pajakpsidempuan,1.0,1,0,0,0,in,Twitter Web App,,,,,,0,,False
1630506062188253185,Pajak,https://twitter.com/Chapung_Jarum/status/1630506062188253185,2023-02-28 09:51:53+00:00,"@bachrum_achmadi Taat pajak bang !
Sebab Rubicon ma Moge mahal tuh !?🤭",Chapung_Jarum,,0,0,0,0,in,Twitter for Android,-6.111333,106.012301,"Cibeber, Indonesia",,bachrum_achmadi,1,['bachrum_achmadi'],False
1630506054806126593,Pajak,https://twitter.com/kring_pajak/status/1630506054806126593,2023-02-28 09:51:51+00:00,"@Lindafdj99Tan Hai, Kak.
Silakan cek DM ya, Kak.
Tks*Auzi",kring_pajak,,0,0,0,0,in,TweetDeck,,,,,Lindafdj99Tan,1,['Lindafdj99Tan'],True
