Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates (Latitude),Coordinates (Longitude),Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified
1630507466168619009,Pajak,https://twitter.com/JumintenMumet/status/1630507466168619009,2023-02-28 09:57:27+00:00,"@democrazymedia Lambungkan sampai gedung pajak. Biar nyaho. 
Rakyat bayar pajak pejabatnya jadi konglomerat kurang ruwed gimana lagi broo??",JumintenMumet,,0,0,0,0,in,Twitter for Android,,,,,democrazymedia,1,['democrazymedia'],False
1630507464906137600,Pajak,https://twitter.com/Portalkripto_/status/1630507464906137600,2023-02-28 09:57:27+00:00,"Pemerintah Indonesia Kantongi Rp246 Miliar dari Pajak Kripto 

https://t.co/iKWTWn4lOM 

#CryptoNews #Bappebti #BLK",Portalkripto_,,0,0,0,0,in,Twitter Web App,,,,"['CryptoNews', 'Bappebti', 'BLK']",,0,,False
1630507461970112512,Pajak,https://twitter.com/AldimasJimanto2/status/1630507461970112512,2023-02-28 09:57:26+00:00,@theabdulhadi Pilih bayarin pajak pemain sih https://t.co/ybRI3A7b8H,AldimasJimanto2,,0,0,0,0,in,Twitter for Android,,,,,theabdulhadi,1,['theabdulhadi'],False
1630507435122372609,Pajak,https://twitter.com/lembaga_guyon/status/1630507435122372609,2023-02-28 09:57:20+00:00,"@miadisini_ @detikcom @DitjenPajakRI Gue yang setiap hari termotivasi oleh motivasi  Sri Mulyani dan podcast @corbuzier untuk bayar pajak demi negara rasanya sakit hati sekali mengetahui ini. Saya benar-benar tidak ikhlas dan malas membayar pajak 

@DitjenPajakRI

https://t.co/oeuMcypgjs",lembaga_guyon,,0,0,0,0,in,Twitter Web App,,,,,miadisini_,5,"['miadisini_', 'detikcom', 'DitjenPajakRI', 'corbuzier', 'DitjenPajakRI']",False
1630507407955877888,Pajak,https://twitter.com/segogorengbabat/status/1630507407955877888,2023-02-28 09:57:14+00:00,@ikanbadutz @CNNIndonesia Pajak ditanggung perusahaan sepertinya. Sepertinya lho.,segogorengbabat,,0,0,0,0,in,Twitter for Android,,,,,ikanbadutz,2,"['ikanbadutz', 'CNNIndonesia']",False
1630507350967853056,Pajak,https://twitter.com/lembaga_guyon/status/1630507350967853056,2023-02-28 09:57:00+00:00,"@CNNIndonesia Gue yang setiap hari termotivasi oleh motivasi  Sri Mulyani dan podcast @corbuzier untuk bayar pajak demi negara rasanya sakit hati sekali mengetahui ini. Saya benar-benar tidak ikhlas dan malas membayar pajak 

@DitjenPajakRI

https://t.co/oeuMcypgjs",lembaga_guyon,,0,0,0,0,in,Twitter Web App,,,,,CNNIndonesia,3,"['CNNIndonesia', 'corbuzier', 'DitjenPajakRI']",False
1630507314343182340,Pajak,https://twitter.com/xyzkingz/status/1630507314343182340,2023-02-28 09:56:51+00:00,"@DitjenPajakRI Mau tanya mbak, kita² bayar pajak karena ada yg mau koleksi moge baru kah?🙏",xyzkingz,,0,0,0,0,in,Twitter for Android,,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630507287570939905,Pajak,https://twitter.com/scarameongg/status/1630507287570939905,2023-02-28 09:56:45+00:00,"Pajak gaji 5 jutaan anjir baru ngeh lumayan jg ya, mending buat sy foya2 drpd bayarin petinggi negara 🤡",scarameongg,,0,0,0,0,in,Twitter for iPhone,,,,,,0,,False
1630507275029991426,Pajak,https://twitter.com/jokitugasstatis/status/1630507275029991426,2023-02-28 09:56:42+00:00,"Aku masih open nihhhh
Open joki tugas &amp; Real-time 
Hitungan
Statistik
Ekonomi
Matematika
Manajemen keuangan 
Kalkulus
Aljabar linear
Riset operasi 
Hukum
Psikologi 
Pajak
https://t.co/CCAzJW93wp",jokitugasstatis,3.0,0,0,0,0,in,Twitter for Android,,,,,,0,,False
1630507254339489793,Pajak,https://twitter.com/kakitangga/status/1630507254339489793,2023-02-28 09:56:37+00:00,@Sahabat_Bangsa ...bayarlah pajak mengingat belum semua punya rubicon dan harley...???,kakitangga,,0,0,0,0,in,Twitter for Android,,,,,Sahabat_Bangsa,1,['Sahabat_Bangsa'],False
