Id,Search Keyword,URL,Datetime,Tweet,User,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to (User),Tweepy Mentioned Users Count,Tweepy Mentioned Username,Tweepy Geo,Tweepy Coordinates,Tweepy Place,Tweepy User Verified,Tweepy User Followers,Tweepy User Statuses Count,Tweepy User Location,Tweepy User Created At
1628780505742323712,PPN,https://twitter.com/AL_BBara/status/1628780505742323712,2023-02-23 15:35:08+00:00,"Menkeu kita ini juga kurang ajar harusnya yg disasar yg tidak taat pajak, bukan warga miskin yg dihajar lewat PPN.",AL_BBara,0,0,0,0,in,Twitter for Android,,,,AL_BBara,0,[],,,,False,3319,81536,Di Hatimu,Wed Jan 22 10:07:09 +0000 2014
1628780417007644672,PPN,https://twitter.com/nikkazeesun/status/1628780417007644672,2023-02-23 15:34:47+00:00,"— Oh how I missed having your pics fill up my gallery. So handsome kaaa~ 🫠🥺💙 Have a safe flight dear and rest up. Love you, always 🥰💙
@zee_pruk
#ส่งซีนุนิวไปเกาหลี 
#ZeePruk #Zunshine https://t.co/neEZ9NPFb2",nikkazeesun,0,0,0,0,en,Twitter for Android,,,"['ส่งซีนุนิวไปเกาหลี', 'ZeePruk', 'Zunshine']",None,0,[],,,,False,87,26134,lowkey 🇵🇭 she/her 23 AllxZee,Sun Nov 21 02:32:43 +0000 2010
1628780373336543232,PPN,https://twitter.com/pippinDQX/status/1628780373336543232,2023-02-23 15:34:36+00:00,そう…動画で見ればすぐ分かるけどプレイ時は気付いてなかったんだ…小型シャトルが無傷のまま吹き飛んでた事に…がれき運んでウキウキ帰り道に見つけて「ｶﾞｼｮｶﾞｼｮ音させてたのオマエかよ！！！」ってなったよね。あの爆風に耐えるとは…直接ダイナマイト付けないとダメなのか…？ https://t.co/G9XlqlLe9z,pippinDQX,0,0,0,0,ja,Twitter for iPhone,,,,pippinDQX,0,[],,,,False,20,11606,,Wed Mar 04 09:12:07 +0000 2015
1628780142616010760,PPN,https://twitter.com/_RealJackWoods/status/1628780142616010760,2023-02-23 15:33:41+00:00,@SageofAges_PPN @RigidRat @TheCreatureHero The internet is so ready to lump everyone together as groomers and this video really exemplifies it,_RealJackWoods,0,0,0,0,en,Twitter for Android,,,,SageofAges_PPN,3,"['SageofAges_PPN', 'RigidRat', 'TheCreatureHero']",,,,False,146,10008, E͞V͞È͞RY͝͏̶WHE͞͡͝R̀͏̀E̷̵,Thu May 19 04:28:36 +0000 2022
1628779908691382272,PPN,https://twitter.com/RigidRat/status/1628779908691382272,2023-02-23 15:32:46+00:00,@SageofAges_PPN @TheCreatureHero Oh okay,RigidRat,0,0,1,0,en,Twitter for Android,,,,SageofAges_PPN,2,"['SageofAges_PPN', 'TheCreatureHero']",,,,False,349,38020,Corn that goes hard,Sun Apr 23 20:57:03 +0000 2017
1628779600171110402,PPN,https://twitter.com/Fikri_Prianton/status/1628779600171110402,2023-02-23 15:31:32+00:00,"@babuhdokter @sianakboba @DitjenPajakRI 🤣 bisa gak bayar pajak?
Beli permen seperak aja bayar ppn,
Beli mie instant ada ppn 11%,
Beli air mineral ada ppn? Rokok ada cukai? 

Emang bisa gak makan gak minum gak merokok? Selama anda hidup anda bayar pajak bung! PPN itu pajak pertambahan nilai ya?
Bisa gak bayar pajak???",Fikri_Prianton,0,0,0,0,in,Twitter for Android,,,,babuhdokter,3,"['babuhdokter', 'sianakboba', 'DitjenPajakRI']",,,,False,62,17100,"NTT, Indonesia Timur",Mon Jul 12 08:55:09 +0000 2021
1628779324479537152,PPN,https://twitter.com/AL_BBara/status/1628779324479537152,2023-02-23 15:30:26+00:00,SMI menaikkan PPN 1% lalu keluarlah bonus untuk pegawai perpajakan https://t.co/dWSMPo2hhe,AL_BBara,1,0,0,0,in,Twitter for Android,,,,AL_BBara,0,[],,,,False,3319,81536,Di Hatimu,Wed Jan 22 10:07:09 +0000 2014
1628779224323735552,PPN,https://twitter.com/pippinDQX/status/1628779224323735552,2023-02-23 15:30:02+00:00,"小型シャトル処分ついでに近場の残骸まで運んで一緒に爆破しよう、ダイナマイト一個じゃ足りんかもだから3つ、あとついでのついでに可燃物いろいろつけたろ！ｳﾋｮｰ!
っていうIQ5なワイ氏、なんか吹き飛んだ物がどこかでｶﾞｼｮｶﾞｼｮ音させてるのをスルーして窪地見物にふけるの図 https://t.co/0ZXRh7Zuc7",pippinDQX,1,0,0,0,ja,Twitter for iPhone,,,,pippinDQX,0,[],,,,False,20,11606,,Wed Mar 04 09:12:07 +0000 2015
1628778922359021568,PPN,https://twitter.com/icecendolx/status/1628778922359021568,2023-02-23 15:28:50+00:00,"@DitjenPajakRI Wkwkw kerja banting tulang trs spersekian persen potong pph, ppn lah, katanya buat membangun bangsa taunya ""membangun pegawai dan anak2nya"" pfftt lawaknya keterlaluan",icecendolx,0,0,0,0,in,Twitter for Android,,,,DitjenPajakRI,1,['DitjenPajakRI'],,,,False,4,720,,Tue Apr 12 03:47:10 +0000 2022
1628778774610280451,PPN,https://twitter.com/orionauta/status/1628778774610280451,2023-02-23 15:28:15+00:00,"@MinInteriorEc @LassoGuillermo @FFAAECUADOR                    @MinInteriorEc   
LO QUE DEBEN HACER ES COORDINAR PARA PATRULLAR NUESTRAS CALLES A PIE, NO HAY MAS SOLUCION QUE PARTE NO ENTIENDEN SEÑORES AUTORIDADES DE CONTROL,SERA TAN DIFICIL EJECUTAR PATRULLAJES A PIE DE FFAA Y PPN ..?????
SOS.",orionauta,0,0,0,0,es,Twitter Web App,,,,MinInteriorEc,4,"['MinInteriorEc', 'LassoGuillermo', 'FFAAECUADOR', 'MinInteriorEc']",,,,False,833,32002,,Mon Jul 25 22:09:13 +0000 2011
1628698814784868353,PPN Naik,https://twitter.com/syamoneelse/status/1628698814784868353,2023-02-23 10:10:31+00:00,"Tiap tahun pajak naik, ppn naik, pajak motor naik, terus liat bujang ini, rasane ndancooookkkkkk https://t.co/1xrH0KVQMk",syamoneelse,1,0,1,0,in,Twitter for Android,,,,None,0,[],,,,False,630,12238,Indonesia,Mon Feb 07 08:17:20 +0000 2011
1628689740974407685,PPN Naik,https://twitter.com/Fikri_Prianton/status/1628689740974407685,2023-02-23 09:34:28+00:00,"@salamaestro @ridwanhr 2.5M an pajak barang mewah? PPN BM, pajak tahunan, dll.?
Harga OTR nya naik jauh",Fikri_Prianton,0,0,0,0,in,Twitter for Android,,,,salamaestro,2,"['salamaestro', 'ridwanhr']",,,,False,62,17100,"NTT, Indonesia Timur",Mon Jul 12 08:55:09 +0000 2021
1628646286638596096,PPN Naik,https://twitter.com/Aman47264904/status/1628646286638596096,2023-02-23 06:41:48+00:00,"@OposisiCerdas Punya SDA terkaya didunia,,kok bisa ya ngutang nambah lagi..harusnya lakukan evaluasi...mengapa bs seperti ini. Disisi lain..PPN naik, sembako naik, Pajak naik, BBM naik,,nah....gimana cara memeneg ya...!Mhn maaf saya orang yg kurang paham ...hanya bertanya nie..???",Aman47264904,0,0,0,0,in,Twitter for Android,,,,OposisiCerdas,1,['OposisiCerdas'],,,,False,33,877,,Thu Apr 18 05:33:02 +0000 2019
1628634477483249664,PPN Naik,https://twitter.com/winartojbs/status/1628634477483249664,2023-02-23 05:54:52+00:00,"PPN sudah naik 11% sudah 5 tahun masih banjir, pegawai pamer harta, arogan, sumber pendapatan kekayaan tidak transparan rakyat ingin percaya mulai dari mana ?? Coba bapak ajarin kami 🤭🏃💨💨 https://t.co/i9paLXzjab",winartojbs,0,0,0,0,in,Twitter for Android,,,,None,0,[],,,,False,389,24451,soerabaia,Tue Mar 06 13:58:37 +0000 2012
1628633097028927488,PPN Naik,https://twitter.com/winartojbs/status/1628633097028927488,2023-02-23 05:49:23+00:00,@faridgaban Jingan mana naik 11% lagi PPN ternyata ......,winartojbs,0,0,0,0,in,Twitter for Android,,,,faridgaban,1,['faridgaban'],,,,False,389,24451,soerabaia,Tue Mar 06 13:58:37 +0000 2012
